487187,60720,-82906,0,0,0
487369,61091,-82228,0,0,0
487296,61730,-82499,0,0,0
487358,62215,-82269,0,0,0
487517,62710,-81677,0,0,0
487518,63171,-81673,0,0,0
487718,63728,-80927,0,0,0
487698,64174,-81002,0,0,0
487900,64732,-80248,0,0,0
488079,65228,-79578,0,0,0
488261,65781,-78899,0,0,0
488461,66278,-78153,0,0,0
488623,66228,-77550,0,0,0
488806,66785,-76864,0,0,0
489024,66780,-76051,0,0,0
489184,66780,-75454,0,0,0
489350,66780,-74836,0,0,0
489569,66831,-74016,0,0,0
489763,67008,-73292,0,0,0
489928,67310,-72679,0,0,0
490148,67229,-71859,0,0,0
490307,67238,-71263,0,0,0
490473,67237,-70644,0,0,0
